=== TOP PROCESSES ===
USER       %MEM%    0 MB       COMMAND
root       4.5%     1103.77 MB java
1000       4.1%     1009.01 MB /app/.venv/bin/python3
root       3.9%     944.004 MB /app/.venv/bin/python
1001       1.4%     359.699 MB /app/api/.venv/bin/python
1001       1.4%     356.215 MB /app/api/.venv/bin/python
root       1.4%     349.75 MB  /usr/bin/dockerd
root       1.2%     300.172 MB puma
root       0.9%     232.672 MB node
1000       0.9%     220.84 MB  node
root       0.7%     173.836 MB mongod
root       0.7%     168.457 MB /lib/systemd/systemd-journald
1001       0.6%     149.973 MB next-server
root       0.6%     147.867 MB node
1001       0.5%     142.207 MB next-server
=== DOCKER CONTAINERS MEMORY USAGE ===
production-whisper-1          739.9MiB / 1GiB       72.25%
production-watchtower-1       0B / 0B               0.00%
production-uptime-kuma-1      116MiB / 23.47GiB     0.48%
production-saas-worker-1      30.99MiB / 23.47GiB   0.13%
production-saas-web-1         27.29MiB / 23.47GiB   0.11%
production-saas-api-1         49.46MiB / 23.47GiB   0.21%
production-redis-1            3.98MiB / 23.47GiB    0.02%
production-postgres-mcp-1     0B / 0B               0.00%
production-postgres-1         22.25MiB / 23.47GiB   0.09%
production-portainer-1        14.89MiB / 23.47GiB   0.06%
production-ollama-1           10.49MiB / 8GiB       0.13%
production-nocodb-1           184MiB / 23.47GiB     0.77%
production-n8n-1              226.6MiB / 23.47GiB   0.94%
production-kokoro-1           961.4MiB / 1GiB       93.89%
production-evolution-api-1    90.9MiB / 23.47GiB    0.38%
production-dify-worker-1      279.7MiB / 23.47GiB   1.16%
production-dify-web-1         225MiB / 23.47GiB     0.94%
production-dify-api-1         316.8MiB / 23.47GiB   1.32%
production-chatwoot-1         295.1MiB / 23.47GiB   1.23%
production-caddy-1            19.52MiB / 23.47GiB   0.08%
production-appsmith-1         1.305GiB / 23.47GiB   5.56%
openclaw-openclaw-gateway-1   0B / 0B               0.00%
NAME                          MEM USAGE / LIMIT     MEM %
